Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
2949.068;48.254;0;24927;602056;0;0
2943.917;43.687;0;24928;602052;0;0
2939.799;39.487;0;24929;602048;0;0
2931.333;34.408;0;24930;602044;0;0
2921.833;26.422;0;24931;602039;0;0
2914.326;18.852;0;24932;602035;0;0
2922.234;14.042;0;24933;602031;0;0
2967.139;13.871;0;24934;602027;0;0
2992.329;16.703;0;24935;602022;0;0
2996.345;18.388;0;24936;602018;0;0
2991.366;17.534;0;24937;602014;0;0
2990.123;15.849;0;24938;602010;0;0
2982.71;15.897;0;24939;602005;0;0
2977.576;16.801;0;24940;602001;0;0
2972.665;18.852;0;24941;601997;0;0
2977.439;22.125;0;24942;601993;0;0
2985.035;26.3;0;24943;601989;0;0
2994.972;28.938;0;24944;601984;0;0
3003.445;27.497;0;24945;601980;0;0
3007.681;22.051;0;24946;601976;0;0
3005.255;13.871;0;24947;601972;0;0
2994.526;7.399;0;24948;601968;0;0
2986.103;5.421;0;24949;601964;0;0
2978.948;5.153;0;24950;601960;0;0
2976.521;5.47;0;24951;601955;0;0
2966.068;5.275;0;24952;601951;0;0
2950.27;3.907;0;24953;601947;0;0
2931.721;2.613;0;24954;601943;0;0
0;0;0;24955;601939;0;0
0;0;0;24956;601935;0;0
0;0;0;24957;601931;0;0
0;0;0;24958;601927;0;0
0;0;0;24959;601924;0;0
0;0;0;24960;601920;0;0
0;0;0;24961;601916;0;0
0;0;0;24962;601912;0;0
0;0;0;24963;601908;0;0
2958.158;1.685;0;24964;601904;0;0
2963.836;1.856;0;24965;601900;0;0
2975.545;2.027;0;24966;601897;0;0
2990.715;2.271;0;24967;601893;0;0
2988.397;2.613;0;24968;601889;0;0
3007.302;2.979;0;24969;601886;0;0
3012.56;2.955;0;24970;601882;0;0
3009.466;3.736;0;24971;601878;0;0
3010.247;4.615;0;24972;601875;0;0
3003.742;7.302;0;24973;601871;0;0
3006.081;11.429;0;24974;601868;0;0
3002.346;16.337;0;24975;601864;0;0
3003.924;21.245;0;24976;601861;0;0
3001.974;24.762;0;24977;601857;0;0
3002.037;27.228;0;24978;601854;0;0
3005.831;28.23;0;24979;601850;0;0
3006.176;29.328;0;24980;601847;0;0
3010.496;30.501;0;24981;601844;0;0
3010.401;31.966;0;24982;601840;0;0
3012.934;32.527;0;24983;601837;0;0
3014.777;32.772;0;24984;601834;0;0
3016.825;32.43;0;24985;601831;0;0
3019.314;33.211;0;24986;601828;0;0
3024.828;33.236;0;24987;601824;0;0
3026.87;34.261;0;24988;601821;0;0
3027.816;35.263;0;24989;601818;0;0
3028.357;37.558;0;24990;601815;0;0
3031.873;40.098;0;24991;601812;0;0
3033.108;42.857;0;24992;601809;0;0
3037.839;46.691;0;24993;601806;0;0
3039.38;49.548;0;24994;601803;0;0
3041.893;51.258;0;24995;601800;0;0
3042.729;52.821;0;24996;601797;0;0
3043.645;53.944;0;24997;601795;0;0
3042.661;54.335;0;24998;601792;0;0
3042.276;55.214;0;24999;601789;0;0
3040.752;55.556;0;25000;601786;0;0
3041.775;57.509;0;25001;601784;0;0
3043.564;60.977;0;25002;601781;0;0
3044.134;63.199;0;25003;601778;0;0
3045.451;65.47;0;25004;601776;0;0
3045.112;68.62;0;25005;601773;0;0
3047.181;71.038;0;25006;601770;0;0
3047.908;73.748;0;25007;601768;0;0
3049.862;73.187;0;25008;601765;0;0
3049.979;73.48;0;25009;601763;0;0
3050.14;73.968;0;25010;601760;0;0
3051.534;71.404;0;25011;601758;0;0
3052.198;69.695;0;25012;601755;0;0
3052.442;68.083;0;25013;601753;0;0
3053.381;66.129;0;25014;601751;0;0
3054.351;65.397;0;25015;601748;0;0
3056.237;65.104;0;25016;601746;0;0
3059.729;65.714;0;25017;601744;0;0
3061.708;67.375;0;25018;601742;0;0
3063.261;70.061;0;25019;601739;0;0
3062.894;71.795;0;25020;601737;0;0
3061.35;74.212;0;25021;601735;0;0
3060.661;77.07;0;25022;601733;0;0
3057.935;78.095;0;25023;601731;0;0
3055.385;77.778;0;25024;601729;0;0
3053.626;78.364;0;25025;601727;0;0
3054.099;77.045;0;25026;601725;0;0
3054.014;74.799;0;25027;601723;0;0
3056.116;73.26;0;25028;601720;0;0
3057.94;70.476;0;25029;601718;0;0
3062.3;68.987;0;25030;601716;0;0
3067.433;67.082;0;25031;601714;0;0
3070.479;66.276;0;25032;601713;0;0
3071.618;65.47;0;25033;601711;0;0
3073.652;64.811;0;25034;601709;0;0
3073.14;64.542;0;25035;601707;0;0
3071.571;64.884;0;25036;601705;0;0
3071.854;64.86;0;25037;601703;0;0
3070.411;64.103;0;25038;601702;0;0
3069.917;64.64;0;25039;601700;0;0
3068.984;63.639;0;25040;601698;0;0
3069.21;63.59;0;25041;601696;0;0
3070.229;62.442;0;25042;601694;0;0
3074.893;62.344;0;25043;601693;0;0
3078.17;62.295;0;25044;601691;0;0
3081.637;62.32;0;25045;601689;0;0
3084.403;63.663;0;25046;601688;0;0
3085.214;65.641;0;25047;601686;0;0
3087.393;69.817;0;25048;601685;0;0
3087.579;75.092;0;25049;601683;0;0
3084.544;80.977;0;25050;601681;0;0
3082.771;86.667;0;25051;601680;0;0
3079.718;93.871;0;25052;601678;0;0
3076.31;98.999;0;25053;601677;0;0
3072.57;98.999;0;25054;601675;0;0
3069.688;98.999;0;25055;601674;0;0
3066.642;98.999;0;25056;601672;0;0
3063.345;98.999;0;25057;601671;0;0
3060.736;98.999;0;25058;601669;0;0
3058.782;98.999;0;25059;601668;0;0
3056.077;95.946;0;25060;601666;0;0
3055.695;90.183;0;25061;601665;0;0
3055.265;84.371;0;25062;601664;0;0
3053.266;78.535;0;25063;601662;0;0
3053.723;73.187;0;25064;601661;0;0
3055.299;67.643;0;25065;601659;0;0
3056.909;64.493;0;25066;601658;0;0
3060.755;60.83;0;25067;601657;0;0
3061.589;58.144;0;25068;601655;0;0
3062.34;55.824;0;25069;601654;0;0
3063.3;53.822;0;25070;601653;0;0
3065.307;51.38;0;25071;601651;0;0
3067.327;49.792;0;25072;601650;0;0
3067.229;49.426;0;25073;601649;0;0
3068.343;48.864;0;25074;601647;0;0
3068.105;48.694;0;25075;601646;0;0
3069.856;49.377;0;25076;601645;0;0
3070.462;49.915;0;25077;601643;0;0
3071.679;49.646;0;25078;601642;0;0
3073.446;49.719;0;25079;601641;0;0
3071.089;50.549;0;25080;601640;0;0
3072.73;51.77;0;25081;601638;0;0
3073.401;51.795;0;25082;601637;0;0
3074.177;53.04;0;25083;601636;0;0
3074.663;54.359;0;25084;601635;0;0
3075.54;54.799;0;25085;601633;0;0
3077.325;54.628;0;25086;601632;0;0
3076.868;55.702;0;25087;601631;0;0
3078.972;56.679;0;25088;601630;0;0
3077.978;57.558;0;25089;601628;0;0
3078.007;58.535;0;25090;601627;0;0
3078.229;59.609;0;25091;601626;0;0
3077.142;59.585;0;25092;601625;0;0
3077.405;59.902;0;25093;601623;0;0
3077.063;59.829;0;25094;601622;0;0
3076.697;60.122;0;25095;601621;0;0
3074.471;60.122;0;25096;601620;0;0
3072.404;60.464;0;25097;601618;0;0
3070.722;60.977;0;25098;601617;0;0
3070.548;60.391;0;25099;601616;0;0
3069.449;60.073;0;25100;601615;0;0
3068.327;59.853;0;25101;601614;0;0
3067.434;60;0;25102;601612;0;0
3065.938;58.974;0;25103;601611;0;0
3064.761;58.388;0;25104;601610;0;0
3065.999;57.949;0;25105;601609;0;0
3064.733;56.947;0;25106;601608;0;0
3065.47;56.972;0;25107;601606;0;0
3066.213;55.36;0;25108;601605;0;0
